NN DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Kembla Grange  R5: 2) CASH ME* (#1 — Olivia Chambers)
Kembla Grange  R5: 3) MAGIC PHAROAH (#5 — Keagan Latham)

Kembla Grange  R6: 1) VALEDICTORIAN* (#1 — Keagan Latham)
Kembla Grange  R6: 2) RUINATION (#5 — Jeff Penza)
Kembla Grange  R6: 3) ZOUGOTME (#13 — Brock Ryan)

Kembla Grange  R7: 1) ZIPITALIST* (#6 — Angus Villiers)
Kembla Grange  R7: 2) ALL TOO LUCKY* (#8 — Louise Day)
Kembla Grange  R7: 3) ALL MACHIAVELLIAN (#2 — Keagan Latham)

Kembla Grange  R8: 1) MAD DARCEY (#5 — Brock Ryan)
Kembla Grange  R8: 2) SHIRVINGTON (#2 — Keagan Latham)
Kembla Grange  R8: 3) QUEIN STEP (#10 — Louise Day)

=========

Beaudesert  R1: 1) SURCOTE (#5 — Jai Williams)
Beaudesert  R1: 2) KAYTEE WISDOM (#8 — Kelsey Lenton)
Beaudesert  R1: 3) TAITY* (#2 — Gregory Walters)

Beaudesert  R2: 1) GRAND TORINO* (#3 — Jai Williams)
Beaudesert  R2: 2) CLASSIC SHIRAZ (#9 — Yvette Lewis)
Beaudesert  R2: 3) BARGARA BOUND (#1 — Scott Sheargold)

Beaudesert  R3: 1) PEARL OF SICILY (#8 — Brandon Lerena)
Beaudesert  R3: 2) VOSTOKOVA (#9 — Yvette Lewis)
Beaudesert  R3: 3) CODE BUSTER (#14 — Unknown)

Beaudesert  R4: 1) EXOSTOVA* (#1 — Jai Williams)
Beaudesert  R4: 2) COCHELA (#7 — Montana Philpot)
Beaudesert  R4: 3) WARRIOR BAE* (#3 — Matthew McGuren)

Beaudesert  R5: 1) KINGZOU (#7 — Rikki Jamieson)
Beaudesert  R5: 2) SCION (#1 — Brandon Lerena)
Beaudesert  R5: 3) BETTA THAN PRESLEY* (#3 — Nozi Tomizawa)

Beaudesert  R6: 1) JUSTICE SERVED* (#3 — Jai Williams)
Beaudesert  R6: 2) SOKUDO (#10 — Dan McGillivray)
Beaudesert  R6: 3) GIDDY GAN'S JOY* (#5 — Sariah Champkin)

Beaudesert  R7: 1) BEST COFFEE* (#1 — Brandon Lerena)
Beaudesert  R7: 2) REEL WILD (#12 — Montana Philpot)
Beaudesert  R7: 3) DUPONT (#11 — Sariah Champkin)

Beaudesert  R8: 1) CHAYSE 'N' ARTIE* (#3 — Jai Williams)
Beaudesert  R8: 2) TWIGMAN (#5 — Jasper Franklin)
Beaudesert  R8: 3) BRENTWOOD (#7 — Montana Philpot)

Beaudesert  R9: 1) PETITE PALACE (#16 — Rikki Jamieson)
Beaudesert  R9: 2) I STOLE IT (#6 — Jai Williams)
Beaudesert  R9: 3) RUBYDOO (#11 — Courtney Bellamy)

=========

Gilgandra  R1: 1) DUREN (#2 — Nicholas Hyde)
Gilgandra  R1: 2) FIREFINCH (#3 — Izzy Neale)
Gilgandra  R1: 3) MISS ADAMAS* (#9 — Shannen Llewellyn)

Gilgandra  R2: 1) WINNING WINNIE (#8 — Nicholas Hyde)
Gilgandra  R2: 2) SILENT DRAMA* (#10 — Jordan Quince)
Gilgandra  R2: 3) CAPITAL BEAUTY (#5 — Izzy Neale)

Gilgandra  R3: 1) SPOTTED* (#5 — Wendy Peel)
Gilgandra  R3: 2) BYZANTIUM (#8 — Jake Pracey-Holmes)
Gilgandra  R3: 3) SAVVY STATEMENT* (#11 — Caine Stuart)

Gilgandra  R4: 1) BEN MY FRIEND (#3 — Izzy Neale)
Gilgandra  R4: 2) GRANDE BELLEZZA (#2 — Ryan Bradley)
Gilgandra  R4: 3) SHOWTIME SASSY (#9 — Unknown)

Gilgandra  R5: 1) DISCREET MISS (#1 — Jordan Quince)
Gilgandra  R5: 2) PEE DEE (#4 — Izzy Neale)
Gilgandra  R5: 3) POWDERFINGER (#6 — Nicholas Hyde)

Gilgandra  R6: 1) ADELSUN (#9 — Nicholas Hyde)
Gilgandra  R6: 2) FOXWELL* (#7 — Wendy Peel)
Gilgandra  R6: 3) DREAM GAME (#1 — Jordan Quince)

Gilgandra  R7: 1) BOBBY'S SECRET (#4 — Nicholas Hyde)
Gilgandra  R7: 2) DIFFERENT ROAD* (#2 — Caine Stuart)
Gilgandra  R7: 3) DESTINY'S SON (#5 — Kath Bell-Pitomac)

=========

Warracknabeal  R1: 1) MEISHO (#11 — Teo Nugent)
Warracknabeal  R1: 2) PHANTOM MISS** (#6 — Craig Atkinson)
Warracknabeal  R1: 3) FOREVER JEUNE* (#4 — Linda Meech)

Warracknabeal  R2: 1) TWO CUBED (#9 — Tom Madden)
Warracknabeal  R2: 2) MANAPOURI* (#3 — Dean Yendall)
Warracknabeal  R2: 3) STREAMELOT (#7 — Jarrod Fry)

Warracknabeal  R3: 1) ZOUCAT (#11 — Teo Nugent)
Warracknabeal  R3: 2) DOLCE D'AMOUR (#4 — Jarrod Fry)
Warracknabeal  R3: 3) WYANGLE RUBY (#9 — Linda Meech)

Warracknabeal  R4: 1) VICTORY BLUES (#11 — Valentin Le Boeuf)
Warracknabeal  R4: 2) URUBULA (#10 — Teo Nugent)
Warracknabeal  R4: 3) YIASOU (#3 — Tom Madden)

Warracknabeal  R5: 1) GOLDEN MIKKI (#5 — Will Gordon)
Warracknabeal  R5: 2) FOUR OUTLAWS (#2 — Brad Rawiller)
Warracknabeal  R5: 3) OFF THE DEEP END (#8 — Eoin Walsh)

Warracknabeal  R6: 1) OUR SASSY LADY (#12 — Olivia East)
Warracknabeal  R6: 2) PRINCE PINOT* (#4 — Jarrod Fry)
Warracknabeal  R6: 3) BRUZANI (#13 — Tom Madden)

Warracknabeal  R7: 1) TANGOETTE (#7 — Jordyn Weatherley)
Warracknabeal  R7: 2) SILKY SMOOTH (#10 — Linda Meech)
Warracknabeal  R7: 3) PADSTOW POLLY* (#16 — Jade Darose)

Warracknabeal  R8: 1) WILD IRISH ROVER (#4 — Will Gordon)
