LGBM Rank DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Beaudesert  R1: 2) EPIC FLASH* (#13 — Brooke Ainsworth)
Beaudesert  R1: 3) TAITY* (#2 — Gregory Walters)

Beaudesert  R2: 1) COSMIC INSANITY (#10 — Dale Smith)
Beaudesert  R2: 2) NEXTA SANTA ANA* (#4 — Kirk Matheson)
Beaudesert  R2: 3) GRAND TORINO* (#3 — Jai Williams)

Beaudesert  R3: 1) WORTHY WAY (#4 — Montana Philpot)
Beaudesert  R3: 2) ANABIA (#12 — Rikki Jamieson)
Beaudesert  R3: 3) VENOM RUSH (#3 — Jasper Franklin)

Beaudesert  R4: 1) EXOSTOVA* (#1 — Jai Williams)
Beaudesert  R4: 2) SWIFT DUKE* (#2 — Danny Peisley)
Beaudesert  R4: 3) WARRIOR BAE* (#3 — Matthew McGuren)

Beaudesert  R5: 1) PRIDE OF ICE* (#15 — Jasper Franklin)
Beaudesert  R5: 2) SHEDENZA (#10 — Jaden Lloyd)
Beaudesert  R5: 3) BETTA THAN PRESLEY* (#3 — Nozi Tomizawa)

Beaudesert  R6: 1) DANCE BABE* (#15 — Ashvin Goindasamy)
Beaudesert  R6: 2) AUTUNNO (#4 — Brandon Lerena)
Beaudesert  R6: 3) ZAYNUDIN (#2 — Jasper Franklin)

Beaudesert  R7: 1) BEAT HOLLOW* (#4 — Dan McGillivray)
Beaudesert  R7: 2) POWERWOLF (#16 — Ashvin Goindasamy)
Beaudesert  R7: 3) BEST COFFEE* (#1 — Brandon Lerena)

Beaudesert  R8: 1) A DEEL OF HUMOUR (#2 — Brandon Lerena)
Beaudesert  R8: 2) FULFILLED (#1 — Jaden Lloyd)
Beaudesert  R8: 3) CHAYSE 'N' ARTIE* (#3 — Jai Williams)

Beaudesert  R9: 1) MISSY NO NAY* (#10 — Sariah Champkin)
Beaudesert  R9: 2) VON BEE (#20 — Jaden Lloyd)
Beaudesert  R9: 3) INDUBITABLY* (#7 — Ashvin Goindasamy)

=========

Gilgandra  R1: 1) PILLAGER* (#6 — Jordan Quince)
Gilgandra  R1: 2) MISS ADAMAS* (#9 — Shannen Llewellyn)
Gilgandra  R1: 3) SHEZA WIDGEE (#10 — Liam Blanch)

Gilgandra  R2: 1) LITLFELA (#2 — Shannen Llewellyn)
Gilgandra  R2: 2) EARLINGTON (#13 — Andrew Banks)
Gilgandra  R2: 3) FRANKIE'S SHOUT (#1 — Kath Bell-Pitomac)

Gilgandra  R3: 1) WESTERN EAGLE (#12 — Liam Blanch)
Gilgandra  R3: 2) CASABLANCA (#2 — Kath Bell-Pitomac)
Gilgandra  R3: 3) BLACKJACK SASSY (#9 — Ryan Bradley)

Gilgandra  R4: 1) THE DRAFTER* (#10 — Kath Bell-Pitomac)
Gilgandra  R4: 2) CAMMI (#4 — Shannen Llewellyn)
Gilgandra  R4: 3) NOTABADCHASSIS (#5 — Zoe Hunt)

Gilgandra  R5: 1) WINNING STATEMENT* (#11 — Kath Bell-Pitomac)
Gilgandra  R5: 2) ZEPHYR WINGS (#5 — Jessica Brookes)
Gilgandra  R5: 3) MARYLAND BRIDGE (#12 — Shannen Llewellyn)

Gilgandra  R6: 1) SO COUNTRY (#8 — Shannen Llewellyn)
Gilgandra  R6: 2) STARLINK (#4 — Zoe Hunt)
Gilgandra  R6: 3) MEDINAH (#2 — Jake Pracey-Holmes)

Gilgandra  R7: 1) ENCYCLOPEDIA (#15 — Andrew Banks)
Gilgandra  R7: 2) GREAT SOUTHERNLAND (#6 — Jake Pracey-Holmes)
Gilgandra  R7: 3) ROCK ALL NIGHT (#12 — Shannen Llewellyn)

=========

Warracknabeal  R1: 1) CALL ME EDDY (#1 — Will Gordon)
Warracknabeal  R1: 2) FOREVER JEUNE* (#4 — Linda Meech)
Warracknabeal  R1: 3) PHANTOM MISS** (#6 — Craig Atkinson)

Warracknabeal  R2: 1) PORT KEMBLA* (#11 — Milos Bunjevac)
Warracknabeal  R2: 2) MANAPOURI* (#3 — Dean Yendall)
Warracknabeal  R2: 3) DERAILED (#4 — Linda Meech)

Warracknabeal  R3: 1) HIDDEN BOUNTY (#5 — Tom Madden)
Warracknabeal  R3: 2) YOU SAID WHAT (#10 — Eoin Walsh)
Warracknabeal  R3: 3) RICCIA* (#15 — Christine Puls)

Warracknabeal  R4: 1) GALLACH ABHAILE* (#6 — Milos Bunjevac)
Warracknabeal  R4: 2) DARE TO BE BOLD* (#14 — Craig Atkinson)
Warracknabeal  R4: 3) SHIPSHEWANA (#8 — Samantha Noble)

Warracknabeal  R5: 1) TREASURY PLACE* (#6 — Jarrod Fry)
Warracknabeal  R5: 2) VEGAS ON FIRE* (#9 — Sam Kennedy)
Warracknabeal  R5: 3) LICHESTER (#12 — Tom Madden)

