LGBM Regression DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Beaudesert  R6: 2) DANCE BABE* (#15 — Ashvin Goindasamy)
Beaudesert  R6: 3) JUSTICE SERVED* (#3 — Jai Williams)

Beaudesert  R7: 1) ROTHSPHENE (#10 — Anthony Allen)
Beaudesert  R7: 2) OAKFIELD EAGLE (#7 — Noriyuki Masuda)
Beaudesert  R7: 3) BEAT HOLLOW* (#4 — Dan McGillivray)

Beaudesert  R8: 1) LET FLY (#9 — Nozi Tomizawa)
Beaudesert  R8: 2) FIRE KING (#8 — Scott Sheargold)
Beaudesert  R8: 3) SECURITY ADVISOR (#12 — Dale Smith)

Beaudesert  R9: 1) INDUBITABLY* (#7 — Ashvin Goindasamy)
Beaudesert  R9: 2) MISSY NO NAY* (#10 — Sariah Champkin)
Beaudesert  R9: 3) ACE'S IN BLOOM (#8 — Dan McGillivray)

=========

Gilgandra  R1: 1) MEGAPHONE MISS (#5 — Wendy Peel)
Gilgandra  R1: 2) PILLAGER* (#6 — Jordan Quince)
Gilgandra  R1: 3) CAPRICIOUS BELLE (#8 — Georgina McDonnell)

Gilgandra  R2: 1) ALLERDINGS (#4 — Wendy Peel)
Gilgandra  R2: 2) JUSTO'S ROCKET (#9 — Caine Stuart)
Gilgandra  R2: 3) SILENT DRAMA* (#10 — Jordan Quince)

Gilgandra  R3: 1) SPOTTED* (#5 — Wendy Peel)
Gilgandra  R3: 2) PONTOON PRINCE (#7 — Georgina McDonnell)
Gilgandra  R3: 3) SAVVY STATEMENT* (#11 — Caine Stuart)

Gilgandra  R4: 1) BEAN ALL OVA (#12 — Georgina McDonnell)
Gilgandra  R4: 2) PLATINUM WARRIOR (#7 — Caine Stuart)
Gilgandra  R4: 3) THE DRAFTER* (#10 — Kath Bell-Pitomac)

Gilgandra  R5: 1) MEAN GIRLS (#3 — Wendy Peel)
Gilgandra  R5: 2) FORT JEFFERSON (#8 — Ken Dunbar)
Gilgandra  R5: 3) WINNING STATEMENT* (#11 — Kath Bell-Pitomac)

Gilgandra  R6: 1) MEAN GIRLS (#14 — Wendy Peel)
Gilgandra  R6: 2) KELILAH (#12 — Georgina McDonnell)
Gilgandra  R6: 3) FOXWELL* (#7 — Wendy Peel)

Gilgandra  R7: 1) READY MADE DOLL (#9 — Georgina McDonnell)
Gilgandra  R7: 2) DIFFERENT ROAD* (#2 — Caine Stuart)
Gilgandra  R7: 3) NAPOLI (#8 — Jessica Brookes)

=========

Warracknabeal  R1: 1) PHANTOM MISS** (#6 — Craig Atkinson)
Warracknabeal  R1: 2) SNOWBALL (#7 — Cian MacRedmond)
Warracknabeal  R1: 3) HOLLOW TURF (#2 — Jack Hill)

Warracknabeal  R2: 1) ATOMIC TOMMY (#14 — Amy Herrmann)
Warracknabeal  R2: 2) PORT KEMBLA* (#11 — Milos Bunjevac)
Warracknabeal  R2: 3) OVER THE EDGE (#12 — Melissa Julius)

Warracknabeal  R3: 1) SYMPHONITE (#7 — Jordyn Weatherley)
Warracknabeal  R3: 2) RICCIA* (#15 — Christine Puls)
